PMID	Sourceid	xQTL	Tissue	Population	Sample_size	Journal	Year	Genome	Describe	Title	Reduced-WGS
23676674	1	pQTL	Lymphocyte	EUR	53	Nature	2013	hg19/hg38		Variation and genetic control of protein abundance in humans	No
23676674	2	pQTL	Lymphocyte	AFR	33	Nature	2013	hg19/hg38		Variation and genetic control of protein abundance in humans	No
23676674	3	pQTL	Lymphocyte	MIX	95	Nature	2013	hg19/hg38		Variation and genetic control of protein abundance in humans	No
24699359	4	pQTL	Lymphocyte	AFR	68	PLoS genetics	2014	hg19/hg38		Protein quantitative trait loci identify novel candidates modulating cellular response to chemotherapy	No
25652787	5	pQTL	Blood	EUR	112	Molecular systems biology	2014	hg19/hg38		Quantitative variability of 342 plasma proteins in a human twin population	No
26582562	6	pQTL	Liver	EUR	150	Molecular biology and evolution	2015	hg19/hg38		Signatures of Evolutionary Adaptation in Quantitative Trait Loci Influencing Trace Element Homeostasis in Liver	No
27532455	7	pQTL	Blood	EUR	1340	PLoS genetics	2016	hg19/hg38		Common Genetic Polymorphisms Influence Blood Biomarker Measurements in COPD	No
28031287	8	pQTL	Brain	EAS	133	Human molecular genetics	2017	hg19/hg38		Genome-wide quantitative trait loci mapping of the human cerebrospinal fluid proteome	No
28240269	9	pQTL	Blood	EUR	1000	nature communications	2017	hg19/hg38		Connecting genetic risk to disease end points through the human blood plasma proteome	No
28369058	10	pQTL	Blood	MIX	3711	PLoS genetics	2017	hg19/hg38		Mapping of 79 loci for 83 plasma protein biomarkers in cardiovascular disease	No
29875488	11	pQTL	Blood	EUR	3301	Nature	2018	hg19/hg38		Genomic atlas of the human plasma proteome	No
30072576	12	pQTL	Blood	EUR	5457	Science	2018	hg19/hg38		Co-regulatory networks of human serum proteins link genetics to disease	No
30111768	13	pQTL	Blood	EUR	6861	nature communications	2018	hg19/hg38		Genome-wide mapping of plasma protein QTLs identifies putatively causal genes and pathways for cardiovascular disease	No
