sample_name	cell_class
HG_A549_ENCDO000AAZ_U	epithelial
HG_AC16_U_U	heart
HG_ADIPOSE_OMENTAL_ENCDO271OUW_U	adipose
HG_ADIPOSE_SUBCU_ENCDO793LXB_U	adipose
HG_ADRENAL_ENCDO451RUA_U	adrenal
HG_ADRENAL_ENCDO575EGL_U	adrenal
HG_ALL_SJHBBBM5GW9_U	lymphoblast
HG_ALL_SJHBBBN9RFN_U	lymphoblast
HG_AML_IPSC_U_U	myeloid
HG_AORTA_THORACIC_ENCDO451RUA_U	vascular
HG_ATAC_IN_27_U_U	neuronal
HG_ATL10_U_NO_TX	T_lymph
HG_ATL25_U_NO_TX	T_lymph
HG_BEAS_2B_U_CAL	epithelial
HG_BJ_U_REVERSAL_SENESCENCE	fibroblast
HG_BJ_U_SENESCENCE	fibroblast
HG_BJ_U_U	fibroblast
HG_BREAST_epithelial_ENCDO271OUW_U	epithelial
HG_BRONCHIAL_epithelial_AAEC_CALPOLYLC	epithelial
HG_BRONCHIAL_epithelial_NHBEC_CALPOLYLC	epithelial
HG_B_CELL_CVID_U	B_lymph
HG_B_CELL_LINE697_U_U	B_lymph
HG_B_CELL_LINE_NA19128_U	B_lymph
HG_B_CELL_LYMPHOMA_NA18501_U	B_lymph
HG_B_CELL_MEMORY_1003_STIM	B_lymph
HG_B_CELL_NAIVE_1001_U	B_lymph
HG_B_CELL_TOTAL_1001_STIM	B_lymph
HG_B_CELL_TOTAL_1004_U	B_lymph
HG_B_CELL_U_GMP2_MID	B_lymph
HG_Bcell	B_lymph
HG_CARDIAC_SEPTUM_U_U	heart
HG_CASKI_U_U	epithelial
HG_CD4pos	T_lymph
HG_CD8pos	T_lymph
HG_COLON_DESCENDING_ENCDO186XRB_U	colon
HG_COLON_MUCOSA_ENCDO575WHY_U	colon
HG_COLON_ORGANOID_AGE53_ETHANOL	colon
HG_COLON_SIGMOID_ENCDO793LXB_U	colon
HG_COLON_TRANSVERSE_ENCDO793LXB_U	colon
HG_COLON_TRANSVERSE_ENCDO845WKR_U	colon
HG_CORD_HSC_CD34POS_D2__24HR_STIM	stem
HG_CTL5_U_NO_TX	T_lymph
HG_DENDRITIC_CELL_1001_U	myeloid
HG_EMBROYO_2CELL_3PN_U_U	stem
HG_EMBROYO_8CELL_3PN_U_U	stem
HG_EMBROYO_ICM_U_U	stem
HG_EMBRYONIC_CEREBELLUM_U_U	neuronal
HG_ENDODERM_D4_U	stem
HG_EPIDERMAL_KERATINOCYTE_SPT6I_U	keratinocyte
HG_ERYTHROBLAST_CD49DPOS_BAND3POS_DONORP5_U	erythroblast
HG_ERYTHROBLAST_PROLIFERATING_M2_KLF1_HAPLO_48HRS_DIFF	erythroblast
HG_ERYTHROBLAST_PROLIFERATING_M8_KLF1_HAPLO_48HRS_DIFF	erythroblast
HG_ESC_TFA2PCDOUBLE_NEG_U	stem
HG_ESOPHAGUS_MUSCULARIS_ENCDO451RUA_U	muscle
HG_ESOPHAGUS_SQUAMOUS_ENCDO271OUW_U	epithelial
HG_FIBROBLAST_DERMAL_U_SSC	fibroblast
HG_FIBROBLAST_SYNOVIAL_H9_DEX	fibroblast
HG_FORESKIN_KERATINOCYTE_ENCDO005EGE_CALCIUM_2.5D	keratinocyte
HG_FORESKIN_KERATINOCYTE_ENCDO615NVN_U	keratinocyte
HG_GALBLADDER_MUCOSA_ENCDO575EGL_U	galbladder
HG_GASTROC_MEDIALIS_ENCDO845WKR_U	muscle
HG_GM128785_U_U	B_lymph
HG_GM12878_ENCDO000AAK_U	B_lymph
HG_GM12878_U_U	B_lymph
HG_GM23338_ENCDO336AAA_U	stem
HG_H1	stem
HG_H1_ENDODERM_U_U	stem
HG_H1_ESC_BAF47_SHRNA_D0	stem
HG_H9_ADIPOCYTE_U_BROWN_ADIPOCYTES_D15	adipose
HG_H9_CHONDROCYTE_U_U	stem
HG_H9_ESC_U_U	stem
HG_H9_P2CNNC_U_U	stem
HG_H9_PARAXIAL_MESODERM_U_PM_DIFFERENTIATION	stem
HG_HAEC_D4_U	endothelial
HG_HAEC_U_4HR_IL1B	endothelial
HG_HC1_IPSC_U_D78	stem
HG_HCT116_U_BUTYRATE24	epithelial
HG_HEART_LV_ENCDO793LXB_U	heart
HG_HEART_RA_AURICLE_ENCDO271OUW_U	heart
HG_HEART_RA_DONOR_40M_U	heart
HG_HEART_RA_ENCDO520EJG_U	heart
HG_HEART_RV_INFERIOR_ENCDO520EJG_U	heart
HG_HEK293	kidney
HG_HEK293_U_TNFA_12HR	kidney
HG_HEK293_U_U	kidney
HG_HEPG2_ENCDO000AAC_U	epithelial
HG_HEPG2_U_U	epithelial
HG_HL_60_U_U	myeloid
HG_HMS_001_U_U	epithelial
HG_HODGKINS_L1236_SH2A.B_U	lymphoblast
HG_HPC_CD34POS_CD1POS_D2_U	stem
HG_HT1080	epithelial
HG_HT1376_U_U	epithelial
HG_HUVEC	endothelial
HG_HUVEC_U_YOUNG	endothelial
HG_HYPERTROPHIC_SCAR_JUN_KO_U	fibroblast
HG_Hela	epithelial
HG_IMR90_ENCDO000AAX_U	fibroblast
HG_IMR90_U_U	fibroblast
HG_IMR_90_U_U	fibroblast
HG_IPSC_GA_18_U	neuronal
HG_IPSC_HEPATOCYTE_H8_DEX	liver
HG_IPSC_IPS_08_U	neuronal
HG_IPSC_SAH_SMARCB1_K364DELHET_U	stem
HG_IPSC_SRSF2_ASXL1_U	stem
HG_ISP_CD28_THYMOCYTE_U_2.5MCL_IMMUNOCULT	thymus
HG_JURKAT_31_CBS_INV_U	T_lymph
HG_JURKAT_U_ASPARAGINE_DEPRIVATION	T_lymph
HG_JURKAT_U_IONO	T_lymph
HG_JURKAT_U_PMA	T_lymph
HG_JURKAT_U_PMA_IONO	T_lymph
HG_JURKAT_U_U	T_lymph
HG_JURKAT_ZBTB1KO_ASPARAGINE_DEPRIVATION	T_lymph
HG_JURKAT_ZBTB1KO_PLUS_ZBTB1CDNA_ASPARAGINE_DEPRIVATION	T_lymph
HG_JURKAT_ZBTB1KO_PLUS_ZBTB1CDNA_U	T_lymph
HG_JURKAT_ZBTB1KO_U	T_lymph
HG_Jurkat	T_lymph
HG_K119_U_U	epithelial
HG_K562_ENCDO000AAD_U	lymphoblast
HG_K562_U_U	lymphoblast
HG_KELOID_U_U	fibroblast
HG_KIDNEY_U_U	kidney
HG_KMS27_U_U	myeloid
HG_KMS28_U_NSD_LOW	myeloid
HG_LIVER_RL_ENCDO793LXB_U	liver
HG_LNCAP_CREB5_4D_DMSO	epithelial
HG_LUNG_ENCDO528BHB_U	lung
HG_LUNG_LLL_ENCDO520EJG_U	lung
HG_LUNG_LUL_ENCDO520EJG_U	lung
HG_M1_MACROPHAGE_U_STIM_24HRS	myeloid
HG_M2_MACROPHAGE_U_STIM_24HRS	myeloid
HG_MACROPHAGE_F_30_34_W_BRITISH_HPSI0114I_VASS_1_D_26_U	myeloid
HG_MACROPHAGE_F_60_64_W_BRITISH_HPSI1213I_HEHD_2_D_36_IFN_SALMONELLA	myeloid
HG_MCF10A_U_U	epithelial
HG_MCF7_ENCDO000AAE_U	epithelial
HG_MESENTERIC_FAT_PAD_U_U	adipose
HG_MM1_S_U_6HRS_A485	B_lymph
HG_MOLM_13_U_U	myeloid
HG_MONOCYTES_1010_STIM2	myeloid
HG_MONOCYTE_MO2_MO1_U	myeloid
HG_MONOCYTE_OBESE_ME078_3_OBESE	myeloid
HG_MOTORNEURON_U_U	neuronal
HG_MSC_CLOCK_KO_U	stem
HG_MYOTUBULAR_IPSC_U_SDDF	muscle
HG_N102_U_U	fibroblast
HG_NERVE_TIBIAL_ENCDO271OUW_U	neuronal
HG_NEURON_DOPAMINERGIC_D30_IPS_07_U	neuronal
HG_NEURON_GABAERGIC_D28_IPS_04_U	neuronal
HG_NEURON_GLUTAMERGIC_D15_IPS_02_U	neuronal
HG_NEURON_H9_CHD_KO_CR1_U	neuronal
HG_NEURON_H9_CHD_KO_CR3_U	neuronal
HG_NEURON_ICELL_U_2HR_KCL	neuronal
HG_NK_CELL_CD49NEG_LIVER_LIVER39_U	NK_cell
HG_NK_CELL_J4_D1	NK_cell
HG_NK_CELL_MEC1_MEC_1_DMSO	NK_cell
HG_NPC_D1_U	neuronal
HG_NPC_IPS_08_U	neuronal
HG_NPC_U_U	neuronal
HG_Nkcell	NK_cell
HG_OCI_AML2_U_MITOBLOCK_6	myeloid
HG_OCI_LY1_ID3_KO_U	B_lymph
HG_OCI_LY1_VENETOCLAX_RESISTANT_U	B_lymph
HG_OVARY_ENCDO411EVD_U	ovary
HG_PANC1_U_U	epithelial
HG_PANCREAS_ENCDO271OUW_U	pancreas
HG_PANCREATIC_ISLET_ISL5_U	pancreas
HG_PANC_BODY_ENCDO793LXB_U	pancreas
HG_PATIENT_48_HOURS_DIFFERENTIATION_BCL11A_MUTANT_	myeloid
HG_PC3_ENCDO349AAA_U	epithelial
HG_PC3_U_U	epithelial
HG_PDCS_1001_U	myeloid
HG_PEYERS_PATCH_ENCDO793LXB_U	B_lymph
HG_PLASMABLASTS_1001_U	myeloid
HG_PROSTATE_ENCDO451RUA_U	prostate
HG_PSOAS_ENCDO575WHY_U	muscle
HG_RETINA_HU6_U	retina
HG_RETINA_HU8_U	retina
HG_RMG_1_U_DOX	epithelial
HG_RS_ATAC_PDL50_TP7_A_PDL50_TP7_SENESCENT	fibroblast
HG_SCAR_JUN_KO_U	fibroblast
HG_SCC_090_U_U	epithelial
HG_SCIATIC_NERVE	neuronal
HG_SEM_U_U	B_lymph
HG_SENSORY_NEURON_F_65_69_W_BRITISH_D12_U	neuronal
HG_SENSORY_NEURON_M_70_74_W_OTHER_D22_U	neuronal
HG_SIHA_U_U	epithelial
HG_SKIN_U_U	fibroblast
HG_SK_N_SH	epithelial
HG_SMC_CA_2989_U	muscle
HG_SPHINCTER_GE_ENCDO271OUW_U	muscle
HG_SPLEEN_ENCDO271OUW_U	spleen
HG_STOMACH_ENCDO793LXB_U	stomach
HG_SUPB15_U_U	B_lymph
HG_TESTIS_ENCDO845WKR_U	testis
HG_THP1	myeloid
HG_THP_1_U_PMA_24HR	myeloid
HG_THYMUS_NAIVE_DONOR_30M_U	thymus
HG_THYROID_ENCDO451RUA_U	thyroid
HG_THYROID_NORMAL1_C14_U	thyroid
HG_THYROID_NORMAL1_C1_U	thyroid
HG_TOV21G_U_U	epithelial
HG_T_ALL_CTV_1_PU1_MUT_PU1_MUT_U	T_lymph
HG_T_CELLS_CD4POS_TEMRA_EC_05_U	T_lymph
HG_T_CELL_CD4POS_CD25NEG_DONOR_1_JAK3_U	T_lymph
HG_T_CELL_CD4POS_EFFECTOR_MEMORY_EC_03_U	T_lymph
HG_T_CELL_CD4POS_TOTAL_EC_05_U	T_lymph
HG_T_CELL_CD8POS_1001_STIM	T_lymph
HG_T_CELL_CENTRAL_MEMORY_CD8POS_1003_STIM	T_lymph
HG_T_CELL_EFFECTOR_MEMORY_1003_STIM	T_lymph
HG_T_CELL_EFFECTOR_NAIVE_1001_STIM	T_lymph
HG_T_CELL_FOLLICULAR_1004_STIM	T_lymph
HG_T_CELL_FOLLICULAR_1004_U	T_lymph
HG_T_CELL_H17_PRECURSORS_1004_STIM	T_lymph
HG_T_CELL_REG_NAIVE_1004_STIM	T_lymph
HG_U937	myeloid
HG_UOCB1_U_U	B_lymph
HG_UTERUS_U_U	uterus
HG_VENA_CAVA_POST_ENCDO528BHB_U	vascular
HG_WI38_HTERT_SENESCENT	fibroblast
HG_WTC_11_U_	stem
HG_Z138_Z138_KD_DMSO	lymphoblast
HG_Z138_Z138_KD_DMSO	lymphoblast
